               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.025325,            0.024958,             0.00469,             0.77151,             0.63517,             0.70155,             0.45574,            0.039307,            0.030238,            0.014629,            0.001486,            0.001486,            0.001486
                 131,             0.02525,            0.024811,           0.0044683,             0.77745,             0.62891,              0.6989,             0.45604,            0.039266,            0.030225,            0.014638,             0.00142,             0.00142,             0.00142
                 132,            0.025284,            0.024547,           0.0046125,             0.78452,             0.62811,             0.70011,             0.45579,            0.039284,            0.030211,            0.014858,            0.001354,            0.001354,            0.001354
                 133,            0.024885,             0.02497,           0.0044151,              0.7729,             0.63235,             0.69917,             0.45616,              0.0393,             0.03019,            0.015135,            0.001288,            0.001288,            0.001288
                 134,            0.024973,            0.025266,           0.0047384,             0.78917,             0.62269,             0.69989,             0.45875,            0.039391,            0.030282,            0.015071,            0.001222,            0.001222,            0.001222
                 135,            0.025093,             0.02492,           0.0044587,             0.77614,             0.62965,             0.70079,              0.4574,            0.039473,             0.03031,            0.015081,            0.001156,            0.001156,            0.001156
                 136,            0.024894,            0.024522,           0.0044918,             0.76923,             0.63636,             0.69976,             0.45639,            0.039305,            0.030364,            0.014989,             0.00109,             0.00109,             0.00109
                 137,            0.024739,            0.024396,             0.00424,             0.77293,              0.6313,             0.70094,             0.45612,             0.03928,            0.030554,            0.015229,            0.001024,            0.001024,            0.001024
                 138,            0.024966,            0.025048,           0.0041978,             0.76596,             0.63798,             0.69993,             0.45697,            0.039114,            0.030563,            0.015467,            0.000958,            0.000958,            0.000958
                 139,            0.024372,            0.023887,           0.0045028,             0.76511,             0.63575,              0.6999,             0.45638,            0.039162,            0.030645,            0.015382,            0.000892,            0.000892,            0.000892
                 140,            0.024301,            0.024643,           0.0041509,             0.77897,             0.62893,             0.69903,             0.45743,            0.039295,            0.030709,            0.015227,            0.000826,            0.000826,            0.000826
                 141,            0.024428,            0.024054,           0.0042777,             0.76239,             0.63987,             0.70283,             0.45769,            0.039317,            0.030654,            0.015241,             0.00076,             0.00076,             0.00076
                 142,            0.024106,            0.023989,           0.0042223,             0.75517,             0.64248,             0.70235,             0.45894,            0.039301,            0.030723,            0.015272,            0.000694,            0.000694,            0.000694
                 143,            0.024183,            0.023743,           0.0040762,             0.76133,              0.6312,             0.70133,             0.45806,            0.039368,            0.030824,            0.015348,            0.000628,            0.000628,            0.000628
                 144,            0.024296,            0.024514,           0.0040215,             0.75724,              0.6343,             0.70213,             0.45868,            0.039345,            0.030933,            0.015374,            0.000562,            0.000562,            0.000562
                 145,            0.023849,            0.024342,           0.0038927,             0.75536,             0.64689,             0.70362,             0.45946,            0.039403,            0.030941,            0.015293,            0.000496,            0.000496,            0.000496
                 146,            0.024136,             0.02415,           0.0041282,             0.76221,             0.65056,             0.70485,             0.46013,            0.039455,            0.030924,            0.015262,             0.00043,             0.00043,             0.00043
                 147,            0.023914,            0.023883,           0.0040996,             0.76776,             0.64939,              0.7057,              0.4609,            0.039456,             0.03098,            0.015247,            0.000364,            0.000364,            0.000364
                 148,            0.023701,             0.02419,            0.004196,             0.76558,             0.65414,             0.70663,             0.46022,            0.039452,            0.031007,            0.015111,            0.000298,            0.000298,            0.000298
                 149,            0.023521,            0.023485,           0.0040991,             0.75765,             0.65339,             0.70612,             0.46049,            0.039452,            0.031051,            0.015012,            0.000232,            0.000232,            0.000232
